dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
hospital/M/short,SLSQPEnsemble_4-models_opt-mse_1-windows,2892.3511400890743,2892.3511400890743,18.07133321774662,0.7655928794313842,0.1924155578375055,0.1740446596224151,5.374671610119886,53.78058330000777,0.1952360059925145,0.0656031360000551,0.0517207344981367,Healthcare,1
bizitobs_l2c/H/long,SLSQPEnsemble_4-models_opt-mse_1-windows,101.50762295982396,101.50762295982396,5.805044486126853,0.6152586133072877,0.7109455071387201,0.8092447726321738,13.215152872331243,10.07509915384578,0.6154161348437465,0.3545888716027692,0.3186164423594398,Web/CloudOps,7
bizitobs_l2c/H/short,SLSQPEnsemble_4-models_opt-mse_1-windows,48.03845949196998,48.03845949196998,4.211856930219497,0.4147667422859418,0.3880880633023188,0.5896059432430997,2.8958073050550808,6.930978249278379,0.3735974781781789,0.2270298752908538,0.1805781006689842,Web/CloudOps,7
bizitobs_l2c/H/medium,SLSQPEnsemble_4-models_opt-mse_1-windows,71.84140301437505,71.84140301437505,4.9858292963285225,0.5009094728140309,0.5528148725767672,0.7876355356231546,8.949649739222085,8.475930805190368,0.513230484453864,0.3018995369325085,0.2657228778418843,Web/CloudOps,7
bizitobs_l2c/5T/short,SLSQPEnsemble_4-models_opt-mse_1-windows,14.16995725323148,14.16995725323148,2.3475733618783496,0.2450518132321537,0.1440016709811387,0.1869167948168228,2.5420279579723504,3.764300367031234,0.129281311341856,0.0806251715067573,0.0664212866472233,Web/CloudOps,7
bizitobs_l2c/5T/long,SLSQPEnsemble_4-models_opt-mse_1-windows,80.1691330560882,80.1691330560882,5.758985091872153,0.571073878807014,0.4256590031937149,0.7441114495220514,9.645692963816066,8.953721743280177,0.5027380900471299,0.3233584032104428,0.2798061371346418,Web/CloudOps,7
bizitobs_l2c/5T/medium,SLSQPEnsemble_4-models_opt-mse_1-windows,60.95091084952308,60.95091084952308,4.994026811862369,0.4939895447214736,0.3522403528150301,0.624472574478585,6.925494225737831,7.807106432573023,0.4107686068254382,0.2627592506487073,0.2222277736237186,Web/CloudOps,7
m4_hourly/H/short,SLSQPEnsemble_4-models_opt-mse_1-windows,641919.4798425286,641919.4798425286,170.4427569711048,0.8004744250253835,0.0979820999483084,0.088289379710544,8.155226775059797,801.1987767355419,0.1093813321474959,0.0232692015436577,0.0189799285319636,Econ/Fin,1
ett1/W/short,SLSQPEnsemble_4-models_opt-mse_1-windows,1204950.7191488987,1204950.7191488987,891.2313921536718,1.553034281501642,0.6922229610963881,0.527527712241829,7.830594554198005,1097.7024729629147,0.4368020136789756,0.3546422426250584,0.2594456969356752,Energy,7
ett1/D/short,SLSQPEnsemble_4-models_opt-mse_1-windows,44112.72744676321,44112.72744676321,140.21055111985362,1.7095256394041465,1.362370565823292,0.4709153728161613,10.902196309096228,210.03030125856412,0.5516515530318874,0.3682676633477912,0.2828233878054773,Energy,7
